Game,Event_Name,Start_Date,End_Date,Prize_Pool_USD,Num_Participants,Winner,Runner_Up,Game_Type,Platform,Club_Championship_Points,Gender
VALORANT,Esports World Cup 2026,2026-07-02,2026-07-12,2000000,16 Teams,100 Thieves,NRG,Tactical FPS,PC,Yes,Open
Dota 2,Esports World Cup 2026,2026-07-07,2026-07-19,2000000,24 Teams,PVISION,BB Team,MOBA,PC,Yes,Open
Fatal Fury: City of the Wolves,Esports World Cup 2026,2026-07-07,2026-07-10,1000000,32 Players,Luis "DarkAngel" Castillo Gomez (Natus Vincere),Kenta "mi2ha4" Ichihara (Virtus.Pro),Fighting,Console/PC,Yes,Open
Apex Legends,ALGS 2026 Split 1 Playoffs,2026-07-07,2026-07-11,2000000,40 Teams,UNLIMIT,Team Vision,Battle Royale FPS,PC,Yes,Open
Mobile Legends: Bang Bang,MLBB Women's International 2026,2026-07-13,2026-07-17,500000,16 Teams,Team Vitality,Natus Vincere,MOBA (Mobile),Mobile,Yes,Women's
Free Fire,Esports World Cup 2026,2026-07-15,2026-07-18,1000000,24 Teams,LYON,AG.AL (Anyone's Legend),Battle Royale (Mobile),Mobile,Yes,Open
League of Legends,Esports World Cup 2026,2026-07-15,2026-07-19,2000000,16 Teams,Dplus KIA,Karmine Corp,MOBA,PC,Yes,Open
Teamfight Tactics,Esports World Cup 2026,2026-07-21,2026-07-25,500000,16 Teams,Team Vision,Aurora Gaming,Auto Battler,PC,Yes,Open
PUBG: Battlegrounds,Esports World Cup 2026,2026-07-21,2026-07-26,2000000,24 Teams,Virtus.Pro,The Vicious,Battle Royale FPS,PC,Yes,Open
EA SPORTS FC 26,FC Pro 26 World Championship,2026-07-22,2026-07-26,1500000,36 Players,Razvan "RvPLegend" Puiu (HYPERSPIRIT),Levy "levyfinn" Rieck (RBLZ Gaming),Sports Sim,Console,Yes,Open
Mobile Legends: Bang Bang,MLBB Mid Season Cup 2026,2026-07-22,2026-08-01,3000000,25 Teams,Team Spirit,Yangon Galacticos,MOBA (Mobile),Mobile,Yes,Open
Street Fighter 6,Esports World Cup 2026,2026-07-28,2026-07-31,1000000,32 Players,Jaime "Craime" Bustos (Team Vitality),"""Hibiki"" (SBI e-Sports)",Fighting,Console/PC,Yes,Open
Overwatch 2,OWCS Midseason Championship 2026,2026-07-29,2026-08-01,1000000,16 Teams,ZETA DIVISION,Twisted Minds,Hero Shooter FPS,PC,Yes,Open
Call of Duty: Warzone,Resurgence Series Championship,2026-07-29,2026-08-01,1000000,32 Teams,G2 Esports,T1,Battle Royale FPS,Console/PC,Yes,Open
Honor of Kings,HoK World Cup 2026,2026-07-30,2026-08-08,3000000,20 Teams,Kuaishou Gaming,AG.AL International,MOBA (Mobile),Mobile,Yes,Open
PUBG Mobile,PUBG Mobile World Cup 2026,2026-08-03,2026-08-16,3000000,32 Teams,S2G Esports,Nongshim RedForce,Battle Royale (Mobile),Mobile,Yes,Open
Tekken 8,Esports World Cup 2026,2026-08-04,2026-08-07,1000000,32 Players,Khawaja "M. Zubair" Muhammad Zubair (AG.AL International),Yoon "LowHigh" Sun-woong (DRX),Fighting,Console/PC,Yes,Open
Rainbow Six Siege,Esports World Cup 2026,2026-08-04,2026-08-14,2000000,22 Teams,FaZe Clan,FURIA,Tactical FPS,Console/PC,Yes,Open
Call of Duty: Black Ops 7,Esports World Cup 2026,2026-08-05,2026-08-09,2000000,16 Teams,Optic Gaming,Team Heretics,FPS,Console/PC,Yes,Open
Chess,Esports World Cup 2026,2026-08-11,2026-08-15,1500000,21 Players,Magnus Carlsen (Team Liquid),Denis Lazavik (AG.AL International),Strategy/Board,PC,Yes,Open
Rocket League,Esports World Cup 2026,2026-08-12,2026-08-16,1000000,16 Teams,Team Falcons,Spacestation Gaming,Vehicular Sports,PC,Yes,Open
Counter-Strike 2,Esports World Cup 2026,2026-08-12,2026-08-23,2000000,32 Teams,Team Spirit,FUT Esports,Tactical FPS,PC,Yes,Open
Trackmania,Esports World Cup 2026,2026-08-17,2026-08-21,500000,32 Players,Gwendal "Gwen" Duparc (AG.AL International),Robert "Epos" McKay (Team Liquid),Racing,PC,Yes,Open
CrossFire,Esports World Cup 2026,2026-08-18,2026-08-22,2000000,16 Teams,BaiSha Gaming,Team Liquid,Tactical FPS,PC,Yes,Open
Fortnite,Reload Elite Series Championship,2026-08-19,2026-08-22,1000000,40 Teams (Duos),BIG,Lyost / Ravens,Battle Royale,PC,Yes,Open
